id_film;url;type_film;multilingues;nationalite;titre;genre;duree;reprise;couleur;note_presse;note_spectateurs;age_acteur;date
1487;http://www.allocine.fr/film/fichefilm_gen_cfilm=1487.html;Long-métrage;FALSE;français;Le Bonheur;Drame;79;TRUE;Couleur;5;3,7;67;15/11/2006
1505;http://www.allocine.fr/film/fichefilm_gen_cfilm=1505.html;Long-métrage;FALSE;polonais;La Clepsydre;Fantastique;124;TRUE;Couleur;;3,1;65;19/08/2005
1518;http://www.allocine.fr/film/fichefilm_gen_cfilm=1518.html;Moyen-métrage;TRUE;français;Black Panthers;Documentaire;31;FALSE;Couleur;;3;41,05145448;30/07/2014
1539;http://www.allocine.fr/film/fichefilm_gen_cfilm=1539.html;Long-métrage;FALSE;allemand;Scènes de chasse en Bavière;Drame;;TRUE;N&B;;3,8;41,05145448;18/11/2009
1562;http://www.allocine.fr/film/fichefilm_gen_cfilm=1562.html;Long-métrage;TRUE;italien;Allemagne année zéro;Drame;74;TRUE;N&B;;3,7;41,05145448;15/05/1999
1655;http://www.allocine.fr/film/fichefilm_gen_cfilm=1655.html;Long-métrage;FALSE;français;Mouchette;Drame;81;TRUE;N&B;;4;41,05145448;22/10/2005
1665;http://www.allocine.fr/film/fichefilm_gen_cfilm=1665.html;Long-métrage;TRUE;britannique;L'amant;Romance;112;FALSE;Couleur;2,8;3,1;18;22/01/1992
1669;http://www.allocine.fr/film/fichefilm_gen_cfilm=1669.html;Long-métrage;FALSE;français;Louis, Enfant Roi;Biopic;160;FALSE;Couleur;;3,1;55;20/04/1993
1681;http://www.allocine.fr/film/fichefilm_gen_cfilm=1681.html;Long-métrage;FALSE;français;Maine Océan;Comédie;;TRUE;Couleur;5;3,2;62;13/06/2007
1715;http://www.allocine.fr/film/fichefilm_gen_cfilm=1715.html;Long-métrage;FALSE;britannique;A Hard Day’s night (Quatre garçons dans le vent);Comédie;87;TRUE;N&B;5;3,5;61;31/12/2001
1752;http://www.allocine.fr/film/fichefilm_gen_cfilm=1752.html;Long-métrage;FALSE;français;Retour à la vie;Drame;120;TRUE;N&B;;3,3;115;16/11/2003
